Pathway,nGenesMapped,nGenesUsed,nSamples,ObservedP,empiricalP,Genes
1347041_GO:0099568_cytoplasmic_region,261,237,10000,4.06606320971008e-29,0.0036996300369963,KLHL17_PRKCZ_AGTRAP_FBLIM1_CAPZB_CNKSR1_KDF1_EPB41_HPCA_GRIK3_CAP1_SLC2A1_KNCN_WLS_FNBP1L_GPSM2_CAPZA1_SPRR4_TPM3_SPTA1_UHMK1_SELE_LAMC2_HMCN1_CAPN2_PSEN2_EXOC8_ACTN2_FMN2_FAM110C_PFN4_RAB10_NRBP1_WDR43_PLEKHH2_SPTBN1_WDPCP_ACTR2_EXOC6B_FABP1_RALB_CLASP1_GYPC_POTEF_CYTIP_CD302_WIPF1_NCL_MLPH_GRM7_CLASP2_MYRIP_CTNNB1_BSN_TMEM110_FLNB_PHLDB2_BFSP2_PLS1_KCNAB1_PRKCI_MAEA_HTT_MED28_FRYL_EXOC1_PKD2_SNCA_FABP2_FGG_EXOC3_MYO10_RAI14_FER_APC_FGF1_SPINK5_GM2A_DBN1_CANX_NEDD9_HFE_FLOT1_DAXX_CLIC5_DST_EEF1A1_MYO6_GRIK2_MARCKS_COL10A1_EPB41L2_CTGF_UTRN_AKAP12_OPRM1_EZR_ACTB_SCIN_WIPF3_ANLN_GCK_COBL_LANCL2_PCLO_PPP1R9A_CAPZA2_CTTNBP2_WASL_MKLN1_CALD1_PDLIM2_PTK2B_ANK1_RGS20_ASPH_PTK2_WASH1_MELK_HNRNPK_TMOD1_GSN_SPTAN1_FNBP1_TSC1_TRAF2_NSMF_PARD3_STOX1_VCL_EXOC6_ADD3_FGFR2_GLRX3_DRD4_STIM1_ARFIP2_INSC_TRAF6_MARK2_CFL1_SPTBN2_CTTN_NUMA1_MYO7A_RDX_PHLDB1_USP2_ARHGAP32_SCNN1A_GABARAPL1_EPS8_CAPZA3_GYS2_C2CD5_ITPR2_LRRK2_RAPGEF3_BIN2_MYO1A_OSBPL8_RIC8B_TCHP_CABP1_FRY_TRPC4_ARHGEF7_STXBP6_PRKD1_ARF6_FERMT2_SPTB_ACTN1_TCL1A_TNFAIP2_CRIP2_SPTBN5_EPB42_NEDD4_POLR2M_ANXA2_PSTPIP1_AXIN1_OR2C1_CORO1A_PARD6A_CDH1_SPIRE2_WDR81_PAFAH1B1_PFN1_DLG4_MYH10_MYH2_LLGL1_NOS2_FLOT2_LASP1_WIPF2_KRT19_SLC4A1_FMNL1_PPP1R9B_AXIN2_LLGL2_EXOC7_SPIRE1_CDH2_MYO5B_TLE6_MAP2K2_TRIP10_MYO1F_GIPC1_RASAL3_TPM4_MYO9B_HAMP_ACTN4_SPTBN4_EXOC3L2_PLA2G4C_MYADM_NLRP5_DSTN_MAPRE1_ITCH_ADA_PARD6B_RGS19_SOD1_CLDN5_RANBP1_MAPK1_NF2_MYH9_RANGAP1
489296_GO:0006936_muscle_contraction,232,198,10000,6.54929356111673e-26,0.0036996300369963,UTS2_MTOR_HTR1D_TRIM63_SLC9A1_EDN2_PTGER3_CASQ2_ATP1A1_GJA5_TMOD4_CHRNB2_ARHGEF11_ATP1A2_RCSD1_ATP1B1_LMOD1_PSEN2_ACTA1_AGT_RYR2_CHRM3_ROCK2_FKBP1B_SLC8A1_CALM2_DYSF_ACTG2_TACR1_CXCR4_NEB_SCN7A_KLHL41_CHRNA1_TTN_MYL1_DES_NMUR1_CHRNG_OXTR_GPD1L_SCN5A_VIPR1_MYL3_TNNC1_SLMAP_LMOD3_MYLK_ITGB5_PIK3CA_KNG1_FGF12_DLG1_MYL5_STBD1_CAMK2D_EDNRA_NPY1R_NDUFS6_GDNF_ITGA1_PDE4D_COL4A3BP_HOMER1_CKMT2_SMAD5_MYOT_ADRB2_ANXA6_GLRA1_NKX2-5_DRD1_EDN1_GJA1_TRDN_UTRN_TBX20_MYL7_MYL10_MET_LMOD2_CALD1_CLCN1_KCNH2_MYOM2_SORBS3_ADRA1A_IKBKB_ASPH_SULF1_SNTB1_TLN1_ANXA1_TMOD1_VIM_TACR2_VCL_KCNMA1_ACTA2_HTR7_MYOF_SORBS1_ANKRD2_CHUK_KCNIP2_TNNT3_KCNQ1_PIK3C2A_CSRP3_MYBPC3_P2RX3_VEGFB_ACTN3_ADRBK1_TPCN2_CRYAB_DRD2_SCN2B_SCN3B_CACNA1C_KCNA5_SSPN_PKP2_MYL6_STAC3_MYBPC1_MYL2_NOS1_PXN_P2RX2_ATP8A2_HTR2A_EDNRB_MYH7_LTB4R_ARG2_CALM1_BDKRB2_HSP90AA1_ACTC1_TMOD3_ANXA2_TPM1_HCN4_CHRNB4_CACNA1H_MYH11_MYLPF_TRIM72_BBS2_HSBP1_TRPV1_CHRNE_CHRNB1_MYH3_KCNJ12_TCAP_GJC1_MYL4_SGCA_SRSF1_RPS6KB1_SCN4A_CACNG1_MAP2K6_KCNJ2_SSTR2_GALR2_GAA_MYL12B_ROCK1_DTNA_NEDD4L_JSRP1_EEF2_TPM4_TSHZ3_FXYD1_RYR1_ATP1A3_DMPK_CALM3_HRC_MYBPC2_TNNI3_FKBP1A_MKKS_MYLK2_SNTA1_MYL9_TNNC2_SULF2_EDN3_KCNE1_P2RX6_SMTN_MB_PLA2G6
492391_GO:0008016_regulation_of_heart_contraction,225,188,10000,1.14858810541034e-24,0.0036996300369963,RNF207_UTS2_NPPA_HSPB7_SLC9A1_ZC3H12A_EDN2_CYP2J2_PDE4B_TNNI3K_AHCYL1_KCND3_CASQ2_ATP1A1_GJA5_NPR1_CASQ1_NOS1AP_ATP1B1_CACNA1E_RGS2_TNNT2_ATP2B4_MDM4_TGFB2_AGT_KCNK1_RYR2_FKBP1B_KCNK3_UCN_SLC8A1_EPAS1_CALM2_BMP10_KCNIP3_CACNB4_SUMO1_DES_NPPC_HDAC4_ITPR1_CAV3_ATP2B2_THRB_GPD1L_SCN10A_MYL3_CACNA2D2_CACNA2D3_POPDC2_ATP1B3_TRPC1_KCNIP4_CORIN_HOPX_TACR3_CAMK2D_PDE5A_IL2_NUP155_PDE4D_HBEGF_ADRB2_ADRA1B_KCNIP1_NKX2-5_DSP_EDN1_ITPR3_GLP1R_BVES_PLN_GJA1_TRDN_HEY2_CTGF_SP4_CRHR2_CACNA2D1_SEMA3A_SRI_AKAP9_TAC1_PIK3CG_CAV1_KCND2_CHRM2_NOS3_GATA4_STC1_ADRA1A_ASPH_TMEM65_JAK2_NPR2_CACNA1B_CELF2_FXYD4_CTNNA3_KCNIP2_GSTO1_ADRB1_GLRX3_KCNQ1_STIM1_ADM_CALCA_KCNJ11_CSRP3_MYBPC3_ADRBK1_DRD2_SCN2B_SCN3B_CACNA1C_KCNA5_ABCC9_ITPR2_PKP2_CACNB3_NPFF_AVPR1A_IFNG_MDM2_ATP2B1_FOXN4_ATP2A2_MYL2_NOS1_ORAI1_MYH7_SLC8A3_CALM1_CHGA_HSP90AA1_CHRFAM7A_CHRNA7_RYR3_TPM1_HCN4_MEF2A_CACNA1H_CACNG3_ATP2A1_IRX5_GNAO1_YWHAE_ATP2A3_ATP1B2_RANGRF_SREBF1_KCNJ12_CACNB1_THRA_JUP_GJC1_MYL4_CACNA1G_TBX2_CACNG1_KCNJ2_GAA_DSG2_SMAD7_KCNG2_PRKACA_FXYD7_RYR1_SPTBN4_GSK3A_DMPK_CALM3_SLC8A2_KCNJ14_TRPM4_CACNG6_TNNI3_OXT_ADRA1D_SNTA1_KCNK15_MC3R_EDN3_CXADR_KCNE1_CACNG2_KCNJ4
506191_GO:0043113_receptor_clustering,42,40,10000,6.32373228278965e-11,0.0036996300369963,DVL1_RER1_NME7_PIGR_ITGB1BP1_NRXN1_ITGA4_COLQ_IFT122_NLGN1_ETV5_DLG1_WDR19_GLRB_GLRA3_SYNGAP1_GRIK2_MAGI2_RELN_CDK5_FNTA_MUSK_SSNA1_LRP4_RAPSN_NRXN2_PAK1_DLG2_ITGB7_GPHN_DNAJA3_ITGAL_DLG4_CDH2_CACNA1A_GRIK5_APOE_ITGB2_PICK1_SHANK3
512056_GO:0051146_striated_muscle_cell_differentiation,189,177,10000,1.61194700281078e-24,0.0036996300369963,SKI_MTOR_NPPA_CAPZB_SEPN1_SLC9A1_ACADM_NEXN_SORT1_CASQ2_BCL9_PLEKHO1_TMOD4_LMNA_CASQ1_TNNT2_LMOD1_MYOG_KCNH1_PROX1_CAPN2_OBSCN_ACTA1_AGT_ACTN2_SMYD3_SDC1_FAM228B_SLC8A1_BMP10_FER1L5_FHL2_CACNB4_ACVR1_TANC1_KLHL41_TTN_CFLAR_IGFBP5_OBSL1_DNER_CAV3_ATG7_RARB_KLHL40_TDGF1_GPX1_CACNA2D2_LMOD3_FOXP1_GSK3B_WDR1_UCHL1_SGCB_PDGFRA_PDLIM5_PPP3CA_LEF1_PITX2_CAMK2D_SORBS2_CCNB1_PTCD2_HOMER1_MEF2C_CAST_WNT8A_PDGFRB_NKX2-5_MAML1_FAM65B_RXRB_MAPK14_SRF_VEGFA_BVES_ATG5_HEY2_MET_LMOD2_SMO_MTPN_KEL_SHH_GATA4_BIN3_NKX2-6_NRG1_KIAA1161_TMOD1_TSC1_TMEM8C_RXRA_NEBL_ITGB1_CDK1_MYPN_MYOZ1_LDB3_ANKRD1_CHUK_ADAM12_IGF2_STIM1_SOX6_MYOD1_CSRP3_WT1_MYBPC3_NOX4_C11orf88_CDON_BARX2_KRAS_WNT1_KRT8_STAC3_AVPR1A_LRRC10_TMTC3_IGF1_MYL2_TBX3_NOS1_P2RX2_IFT88_RB1_MYH6_CFL2_SIX4_PROX2_DICER1_AKT1_ACTC1_CAPN3_MYEF2_TMOD3_BNIP2_TPM1_NEO1_ALPK3_MESP1_MEF2A_WFIKKN1_CACNA1H_C16orf89_MYH11_MYLK3_NFATC3_KDM6B_MYH10_MYH3_MYOCD_IFT20_TCAP_RARA_KRT19_KAT2A_SPAG9_PRKAR1A_ACTG1_AFG3L2_GATA6_CDH2_FHOD3_CALR_NPHS1_RYR1_DYRK1B_BMP2_NEURL2_NFATC2_CXADR_RCAN1_MYO18B_MYH9_CBY1
518240_GO:0090100_positive_regulation_of_transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway,102,93,10000,8.11059355260688e-17,0.0036996300369963,HES5_BMP8B_FOXD2_CYR61_TGFBR3_NOTCH2_TGFB2_PARP1_SOX11_ADAM17_GDF7_BMP10_FOXD4L1_INHBB_ACVR2A_ACVR1_MSTN_BMPR2_INHA_ACVR2B_HES1_MSX1_RBPJ_BMP3_NPNT_ING2_DAB2_FOXD1_GDF9_MSX2_BMP6_HFE_CSNK2B_BMP5_TTK_CITED2_INHBA_KCP_HIPK2_GATA4_BMP1_RBPMS_SDCBP_SULF1_GDF6_ZC3H3_FOXD4_CDKN2B_FOXD4L5_TGFBR1_CRB2_ENG_NOTCH1_ITGA8_GDF10_NODAL_C10orf54_BMPR1A_FBXL15_CDKN1C_ILK_MEN1_ACVR1B_GDF11_INHBE_FGF9_ZIC2_BMP4_SYNJ2BP_TGFB3_SNW1_THBS1_RNF111_NEO1_FURIN_AXIN1_TGFB1I1_ZNF423_MYOCD_FLCN_UBE2O_TWSG1_GATA6_RNF165_SMAD2_SMAD4_LRG1_GIPC1_GDF1_TGFB1_BMP2_GDF5_BMP7
508122_GO:0045787_positive_regulation_of_cell_cycle,329,279,10000,4.9346222524395e-33,0.0037996200379962,CCNL2_TP73_RCC2_TAS1R2_WNT4_PSMB2_LSM10_FOXE3_ORC1_PKN2_CDC7_PSMA5_PSMB4_MUC1_PBX1_RFWD2_TPR_KIF14_MYOG_MDM4_PROX1_TGFB2_MAP10_ID2_ADAM17_ROCK2_GEN1_ATRAID_SPDYA_SPAST_MTA3_PRKCE_PSME4_RPS27A_TGFA_BCL2L11_IL1B_CCNT2_PKP4_PSMD14_FAP_PPP1R1C_CD28_CUL3_PSMD1_SETMAR_DAZL_UBE2E2_DYNC1LI1_RHOA_RASSF1_WNT5A_PSMD6_DRD3_NUDT16_CCNL1_ECT2_PSMD2_TP63_HES1_MSX1_PHOX2B_ANKRD17_BTC_PKD2_EIF4E_LEF1_EGF_LARP7_MAD2L1_PLK4_PLRG1_PRDM9_RXFP3_FGF10_CCNB1_CCNH_CAST_PGGT1B_UBE2B_NEUROG1_PDGFRB_LSM11_NPM1_MSX2_EDN1_SOX4_AIF1_PSMB9_PIM1_CCND3_PHIP_CCNC_NR2E1_CTGF_CITED2_PSMB1_GPER1_HOXA13_PSMA2_CAMK2B_EGFR_NUPR1L_MLXIPL_ASNS_MEPCE_PSMC2_SRPK2_CASP2_SMARCD3_CCAR2_NKX3-1_FGFR1_CSPP1_TERF1_MTBP_NSMCE2_NDRG1_GML_ZNF16_DMRT1_UHRF2_CDKN2A_SMC5_ANXA1_NR4A3_TRIM32_PSMD5_DAB2IP_PSMB7_CDK9_ABL1_NACC2_SVIL_CCNY_CDK1_STOX1_PTEN_KIF20B_FGF8_FGFR2_PIDD1_INS_TRIM21_RRP8_PSMA1_E2F8_NELL1_PSMC3_CDCA5_FOSL1_LRP5_CCND1_GDPD5_ATM_RDX_DRD2_USP2_RHNO1_CCND2_KCNA5_TAS2R13_CDKN1B_WNT10B_RACGAP1_ESPL1_CDK2_CDK4_HMGA2_MDM2_E2F7_CRADD_ASCL1_PTPN11_TBX3_CIT_TRIAP1_PSMD9_UBC_ZNF268_BRCA2_RGCC_RB1_POU4F1_CUL4A_APEX1_PSMB11_TGM1_PSMA6_FOXA1_PSMC6_DLGAP5_PSMA3_FNTB_RAD51B_PSMC1_CCNK_PPP2R5C_XRCC3_AKT1_NUSAP1_TMOD3_CCPG1_RAB11A_KIF23_PML_CYP1A1_SIN3A_PSMA4_IGF1R_SSTR5_PKD1_TFAP4_RPS15A_PLK1_SH2B1_PAGR1_PSMB10_PSMD7_CDK10_PAFAH1B1_OR1A2_PSMB6_TP53_AURKB_UBB_RNF112_USP22_SLC6A4_CRLF3_RAB11FIP4_CDK5R1_PSMB3_MED1_RARA_BRCA1_DUSP3_DBF4B_STXBP4_RAD51C_RPS6KB1_PSMC5_PRKCA_PSMD12_SPHK1_BIRC5_ANAPC11_GATA6_PSMA8_VPS4B_INSR_CALR_GIPC1_WIZ_UBA52_SIRT2_PSMC4_TGFB1_MED25_AURKC_PSMF1_CDC25B_PLCB1_INSM1_KIF3B_SRC_FAM83D_UBE2C_AURKA_RBM38_EDN3_PSMA7_APP_CDC45_RANBP1_MIF_CHEK2_PDGFB_GTSE1
508229_GO:0045922_negative_regulation_of_fatty_acid_metabolic_process,29,22,10000,2.90276059378436e-09,0.0037996200379962,WDTC1_INSIG2_ACADL_UGT1A1_CNR1_INSIG1_ERLIN2_SIRT1_ERLIN1_INS_DGAT2_APOC3_METTL20_ACACB_SIRT4_PIBF1_AKT1_ACADVL_BRCA1_PLIN5_APOC1_TRIB3
752611_GO:0097110_scaffold_protein_binding,42,38,10000,1.11317931081e-10,0.0037996200379962,PARK7_ATP2B4_CRIPT_NCK2_CASP8_SCN5A_P2RY1_NLGN1_GRID2_PDE4D_DSP_TREM1_MAP3K7_GJA1_DLL1_CAV2_NOS3_IKBKB_VIM_CHUK_KCNQ1_LRP4_PANX1_KCNA5_ADCY6_KRT18_MDM2_NOS1_CIT_CACNA1H_MAPK3_DLG4_KRT15_CACNA1G_MAP2K2_SHANK1_SRC_SHANK3
1269532_R-HSA-1912408_Pre-NOTCH_Transcription_and_Translation,28,26,10000,2.81369206376135e-09,0.0038996100389961,AGO3_JUN_MOV10_NOTCH2_KAT2B_TFDP2_RBPJ_MAML3_MAML1_E2F3_NOTCH4_AGO2_NOTCH1_CCND1_MAML2_TFDP1_SNW1_CREBBP_TNRC6A_TP53_KAT2A_TNRC6C_NOTCH3_E2F1_TNRC6B_EP300
491051_GO:0006066_alcohol_metabolic_process,348,279,10000,3.26946350664376e-32,0.0038996100389961,PLCH2_PARK7_DHRS3_PLA2G2F_CELA3A_LDLRAP1_NR0B2_PTAFR_INPP5B_SCP2_PCSK9_PRKAA2_ANGPTL3_LEPR_RPE65_SLC44A5_SLC44A3_CEPT1_HMGCS2_FDPS_APOA2_HSD17B7_TNFSF4_SOAT1_PLA2G4A_CYB5R1_LBR_ITPKB_ARV1_GGPS1_MBOAT2_LPIN1_RDH14_APOB_SNX17_PLB1_CYP1B1_CALM2_RETSAT_INPP4A_INSIG2_DBI_SMPD4_GPD2_LRP2_INPP1_PECR_CYP27A1_MOGAT1_HTR2B_INPP5D_HDLBP_GPD1L_PLCD1_CYP8B1_SCAP_IP6K2_IP6K1_CHDH_CNBP_RBP1_GK5_PLCH1_BCHE_PCYT1A_SRD5A3_GC_GK2_COQ2_CDS1_ADH7_SGMS2_PLA2G12A_FGF2_INPP4B_LRAT_MSMO1_ENPP6_CYP4V2_LPCAT1_PRKAA1_HMGCS1_HMGCR_DMGDH_PPIP5K2_ALDH7A1_IL4_SLC34A1_MBOAT1_GPLD1_SLC44A4_IP6K3_NUDT3_PPARD_TRERF1_CYP39A1_COQ3_SMPD2_NUS1_SMPDL3A_EPM2A_NPC1L1_CYP51A1_PON1_CYP3A4_MOGAT3_PNPLA8_CFTR_LEP_AKR1B10_AKR1D1_PRKAG2_INSIG1_CLN8_FDFT1_MTMR7_STAR_SDR16C5_IMPAD1_CYP7A1_CYP7B1_RDH10_IMPA1_ENPP2_SQLE_CYP11B2_DGAT1_VLDLR_ACER2_SIGMAR1_ALDH1B1_ALDH1A1_IPPK_HSD17B3_SLC44A1_DPM2_DOLPP1_CEL_RXRA_INPP5E_IDI1_AKR1C3_CUBN_CHAT_ASAH2B_IPMK_SAMD8_PTEN_LIPA_PLCE1_GOT1_ERLIN1_CYP17A1_INPP5A_OSBPL5_SMPD1_CYB5R2_CYP2R1_CAT_PTPMT1_PLA2G16_PLCB3_TM7SF2_LRP5_DHCR7_INPPL1_DGAT2_GDPD4_MTMR2_FDX1_APOA1_DPAGT1_SORL1_APLP2_FGF23_TPI1_PLBD1_PLCZ1_GPD1_SOAT2_RDH5_APOF_CYP27B1_NUDT4_CHPT1_IGF1_MVK_ALDH2_PLA2G1B_SCARB1_ALG5_EBPL_DHRS4_SGPP1_RDH12_NPC2_C14orf1_SPTLC2_CALM1_ITPK1_DEGS2_PLD4_LPCAT4_PLCB2_PLA2G4F_PPIP5K1_SORD_FGF7_CYP19A1_LIPC_CLN6_CYP1A1_ALDH1A3_CACNA1H_PGP_PLA2G10_GDE1_APOBR_GDPD3_LPCAT2_CETP_SMPD3_PLCG2_MBTPS1_MVD_SCARF1_PAFAH1B1_SREBF1_ALDH3A2_STARD3_ACLY_HSD17B1_PLCD3_PHOSPHO1_PCTP_GDPD1_FDXR_SPHK1_ENPP7_LPIN2_IMPA2_ABHD3_NPC1_OSBPL1A_TTR_ACAA2_FECH_ACER1_PNPLA6_LDLR_SLC27A1_ISYNA1_CEBPA_ITPKC_LIPE_APOC1_CALM3_PLA2G4C_SPHK2_GPCPD1_PLCB4_ACSS1_ACSS2_LPIN3_DPM1_CYP24A1_PCK1_NTSR1_APP_SYNJ1_SLC5A3_ABCG1_LSS_PLA2G3_APOL1_PLA2G6_SREBF2_CYB5R3_CHKB
497171_GO:0018200_peptidyl-glutamic_acid_modification,28,26,10000,1.691780368611e-09,0.0038996100389961,AGBL4_TTLL7_BGLAP_AGBL5_GGCX_PROC_TTLL4_PROS1_NAA11_VKORC1L1_CEP41_AGBL3_AGTPBP1_TTLL11_F2_AGBL2_FOLH1_FOLH1B_PROZ_GAS6_TTLL5_AGBL1_FURIN_VKORC1_TTLL6_TTLL1
499481_GO:0030017_sarcomere,179,154,10000,1.58732454819329e-21,0.0038996100389961,ENO1_CAPZB_MYOM3_TRIM63_SYNC_FHL3_PDE4B_NEXN_CASQ2_TMOD4_S100A1_TPM3_CASQ1_NOS1AP_LMOD1_ATP2B4_PPP2R5A_PSEN2_OBSCN_ACTA1_RYR2_FKBP1B_TRIM54_SLC8A1_CALM2_SPTBN1_BMP10_FHL2_BIN1_NEB_SCN1A_XIRP2_KLHL41_TTN_MYL1_OBSL1_SPHKAP_HDAC4_CAV3_TIMP4_KAT2B_SCN5A_CTNNB1_KLHL40_MYL3_TNNC1_CACNA1D_FLNB_LMOD3_KY_TRPC1_PDLIM5_PPP3CA_ANK2_MYOZ2_ANXA5_PALLD_SORBS2_FRG1_CMYA5_KCNN2_MYOT_MYOZ3_DST_SYNE1_MYL7_HSPB1_SRI_LMOD2_FLNC_DNAJB6_MYOM2_ADRA1A_ANK1_JPH1_ABRA_FBXO32_TPM2_PGM5_FBP2_HABP4_TMOD1_MURC_TRIM32_SPTAN1_NEBL_MYPN_SYNPO2L_LDB3_ANKRD1_ANKRD2_BAG3_GLRX3_TNNT3_ILK_PARVA_CSRP3_MYBPC3_SMTNL1_ACTN3_PAK1_CRYAB_SCN3B_CACNA1C_KCNA5_ABCC9_SCN8A_KRT8_ARHGEF25_LRRC10_PPP1R12A_MYL2_NOS1_MYH7_CFL2_PSMA6_FERMT2_SYNE2_ACTN1_CALM1_AHNAK2_ACTC1_CAPN3_TMOD3_POLR2M_TPM1_FBXL22_FBXO22_STUB1_ATP2A1_ALDOA_MMP2_MYH3_TCAP_JUP_NBR1_SLC4A1_MYL4_MYL12B_FHOD3_LMAN1_TPM4_ACTN4_CALM3_HRC_TNNI3_FKBP1A_MYLK2_MYL9_JPH2_TNNC2_KCNE1_MYO18B_PARVB
502343_GO:0033122_negative_regulation_of_purine_nucleotide_catabolic_process,28,28,10000,5.76464027328062e-10,0.0038996100389961,RCC2_TNNT2_EGLN1_SH3BP4_PXK_CPEB2_PLN_PTPRN2_USP17L2_ARFGEF1_DAB2IP_PPIF_HRAS_ARL2_LRRK2_FICD_TMED2_FZD10_SPRY2_OXA1L_PAM16_ARRB2_TP53_MAPK7_BCAS3_ADCYAP1_GMIP_TNNI3
1270046_R-HSA-196071_Metabolism_of_steroid_hormones,28,25,10000,5.13111363206776e-09,0.003999600039996,HSD3B1_HSD11B1_POMC_SRD5A2_SRD5A3_HSD17B11_SRD5A1_STARD4_CGA_AKR1B15_STAR_CYP11B2_HSD17B3_CYP17A1_HSD17B12_FDX1_CYP19A1_CYP11A1_STARD5_HSD11B2_HSD17B1_FDXR_STARD6_FDX1L_LHB
510179_GO:0048011_neurotrophin_TRK_receptor_signaling_pathway,375,310,10000,1.61690757211663e-34,0.003999600039996,ARHGEF16_PLEKHG5_PIK3CD_MTOR_CASP9_RPS6KA1_HDAC1_AGO3_ITGB3BP_JAK1_PRKACB_VAV3_PSMA5_RAP1A_MOV10_NRAS_NGF_APH1A_THEM4_SHC1_LAMTOR2_ARHGEF11_SPTA1_NCSTN_RASAL2_MAPKAPK2_PSEN2_OBSCN_ACTN2_KIDINS220_ADAM17_ADCY3_RASGRP3_SOS1_PRKCE_CALM2_RPS27A_BCL2L11_RALB_ARHGEF4_PSMD14_PDE1A_CD28_CREB1_ERBB4_CUL3_IRS1_PSMD1_NGEF_IL5RA_ITPR1_RAF1_MYD88_PRKAR2A_RHOA_MAPKAPK3_DUSP7_PRKCD_IL17RD_PSMD6_TRAT1_GSK3B_CD86_ADCY5_KALRN_PIK3CB_RASA2_PRKCI_ECT2_PIK3CA_PSMD2_FGFR3_KLB_KIT_BTC_PAQR3_FGF5_LAMTOR3_NFKB1_EGF_CAMK2D_FGF2_GAB1_RAPGEF2_CASP3_ADCY2_TRIO_RICTOR_FGF10_PIK3R1_RASGRF2_RASA1_MEF2C_CAMK4_IL5_HBEGF_HDAC3_FGF1_CAMK2A_FGF18_FGFR4_SQSTM1_PSMB9_ITPR3_MAPK13_FGD2_FRS3_PPP2R5D_FOXO3_SMPD2_FYN_HDAC2_TIAM2_RPS6KA2_PSMB1_PRKAR1B_RAC1_ADCYAP1R1_PDE1C_RALA_PSMA2_CAMK2B_ADCY1_EGFR_AKAP9_RASA4_PSMC2_PRKAR2B_BRAF_CASP2_FGF20_FGF17_NEFL_DUSP4_NRG1_FGFR1_IKBKB_RIPK2_ANGPT1_ADCY8_PTK2_JAK2_SH3GL2_TEK_CLTA_PRKACG_PCSK5_NTRK2_SHC3_FGD3_PSMD5_DAB2IP_PSMB7_MAPKAP1_SPTAN1_RAPGEF1_RALGDS_VAV2_GRIN1_NET1_IL2RA_RASGEF1A_MAPK8_DDIT4_CAMK2G_PTEN_ZFYVE27_CHUK_FGF8_DUSP5_FGFR2_AP2A2_PSMA1_TRAF6_PSMC3_BAD_RELA_SPTBN2_RPS6KB2_FGF3_ARHGEF17_NCAM1_ARHGEF12_FGF6_CDKN1B_GRIN2B_KRAS_ITPR2_FGD4_ADCY6_ATF1_NR4A1_PDE1B_ERBB3_MDM2_FRS2_KITLG_DUSP6_PRDM4_BRAP_PTPN11_RASAL1_PEBP1_PSMD9_UBC_FGF9_KL_FOXO1_KBTBD7_IRS2_ARHGEF7_MCF2L_RASA3_PSMB11_ADCY4_NFKBIA_SOS2_PSMC6_PSMA3_SPTB_RPS6KA5_MARK3_AKT1_NDN_RASGRP1_SPTBN5_FGF7_APH1B_MAP2K1_MAP2K5_NRG4_LINGO1_RASGRF1_AKAP13_FURIN_MEF2A_PCSK6_PDPK1_ADCY9_GRIN2A_TNRC6A_LAT_MAPK3_ADCY7_PSMB10_PHLPP2_PSMD7_BCAR1_CRK_PSMB6_DLG4_UBB_MAPK7_KSR1_OMG_PSMD11_AP2B1_AATF_PSMB3_PSMD3_HAP1_PSME3_DUSP3_NGFR_PSMC5_PRKCA_PSMD12_PRKAR1A_GRB2_TNRC6C_ARHGDIA_ADCYAP1_PSMA8_RIT2_PHLPP1_MAP2K2_VAV1_ARHGEF18_WDR83_PRKACA_RASAL3_UBA52_PSENEN_RASGRP4_PLEKHG2_SPTBN4_GSK3A_AP2S1_GRIN2D_AKT1S1_PRKCG_TRIB3_PSMF1_PTPRA_SRC_PLCG1_YWHAB_PSMA7_TIAM1_ITSN1_RTN4R_CRKL_MAPK1_ADORA2A_IL2RB_PDGFB_TNRC6B_RBX1_PRR5_MAPK11
516727_GO:0071804_cellular_potassium_ion_transport,137,111,10000,2.3363070234274e-18,0.003999600039996,KCNAB2_KCNQ4_KCNA2_KCND3_ATP1A1_HCN3_ATP1A4_ATP1B1_KCNT2_KCNH1_KCNK2_KCNK1_KCNF1_KCNS3_KCNK3_KCNG3_KCNK12_KCNIP3_CNGA3_KCNJ3_KCNH7_KCNE4_KCNJ13_KCNH8_SLC12A8_ATP1B3_P2RY12_KCNAB1_KCNMB3_TMEM175_KCNIP4_CNGA1_REST_PKD2_SLC12A7_HCN1_KCNN2_SLC12A2_KCNMB1_KCNK16_KCNQ5_AQP1_SLC12A9_KCND2_KCNH2_KCNU1_KCNB2_CNGB3_KCNS2_KCNV1_KCNQ3_KCNK9_KCNV2_TMEM38B_KCNT1_FXYD4_KCNMA1_PKD2L1_KCNIP2_KCNK18_KCNQ1_CNGA4_KCNC1_KCNA4_KCNK4_KCNK7_KCNE3_HTR3A_FXYD2_KCNJ5_KCNA5_ABCC9_KCNH3_KCNMB4_KCNC2_ATP12A_MTMR6_KCNH5_KCNK10_KCNK13_SLC12A6_SLC12A1_HCN4_SLC12A3_CNGB1_SLC12A4_KCNG4_KCNAB3_KCNJ18_KCNH4_KCNH6_KCNJ2_KCNG2_TMEM38A_KCNN1_ATP4A_KCNK6_ATP1A3_KCNN4_KCNJ14_KCNA7_KCNC3_KCNS1_SLC12A5_SLC9A8_KCNG1_KCNQ2_KCNE1_KCNJ15_CCT8L2_KCNJ4
